timestamp,duration_us,actual_distance
18121,887,16.0
19121,887,16.0
20121,887,16.0
21121,886,16.0
22121,887,16.0
23121,887,16.0
24121,887,16.0
25121,887,16.0
26121,886,16.0
27121,887,16.0
28121,887,16.0
29121,887,16.0
30121,887,16.0
31121,886,16.0
32121,887,16.0
33121,887,16.0
34121,887,16.0
35121,887,16.0
36121,887,16.0
37121,887,16.0
38121,887,16.0
39121,888,16.0
40121,887,16.0
41121,887,16.0
42121,888,16.0
43121,887,16.0
44121,887,16.0
45121,887,16.0
46121,888,16.0
47121,886,16.0
48121,887,16.0
49121,887,16.0
50121,886,16.0
51121,887,16.0
52121,887,16.0
53121,887,16.0
54121,886,16.0
55121,888,16.0
56121,886,16.0
57121,887,16.0
58121,886,16.0
59121,887,16.0
60121,887,16.0
61121,887,16.0
62121,887,16.0
63121,888,16.0
64121,887,16.0
65121,887,16.0
66121,887,16.0
67121,887,16.0
676281,748,12.7
677281,749,12.7
678281,749,12.7
679281,748,12.7
680281,749,12.7
681281,749,12.7
682281,749,12.7
683281,749,12.7
684281,749,12.7
685281,749,12.7
686281,749,12.7
687281,749,12.7
688281,748,12.7
689281,749,12.7
690281,748,12.7
691281,749,12.7
692281,748,12.7
693281,749,12.7
694281,749,12.7
695281,749,12.7
696281,748,12.7
697281,749,12.7
698281,749,12.7
699281,749,12.7
700281,749,12.7
701281,749,12.7
702281,749,12.7
703281,749,12.7
704281,749,12.7
705281,749,12.7
706281,749,12.7
707281,749,12.7
708281,749,12.7
709281,748,12.7
710281,749,12.7
711281,748,12.7
712281,748,12.7
713281,749,12.7
714281,748,12.7
715281,748,12.7
716281,749,12.7
717281,749,12.7
718281,748,12.7
719281,749,12.7
720281,748,12.7
721281,749,12.7
722281,749,12.7
723281,749,12.7
724281,749,12.7
725281,748,12.7
812478,512,7.2
813478,512,7.2
814478,512,7.2
815478,512,7.2
816478,512,7.2
817478,512,7.2
818478,512,7.2
819478,513,7.2
820478,513,7.2
821478,512,7.2
822478,512,7.2
823478,512,7.2
824478,513,7.2
825478,512,7.2
826478,511,7.2
827478,512,7.2
828478,512,7.2
829478,511,7.2
830478,513,7.2
831478,512,7.2
832478,512,7.2
833478,511,7.2
834478,512,7.2
835478,512,7.2
836478,512,7.2
837478,512,7.2
838478,512,7.2
839478,512,7.2
840478,512,7.2
841478,512,7.2
842478,512,7.2
843478,512,7.2
844478,512,7.2
845478,513,7.2
846478,512,7.2
847478,512,7.2
848478,512,7.2
849478,513,7.2
850478,512,7.2
851478,512,7.2
852478,512,7.2
853478,512,7.2
854478,512,7.2
855478,512,7.2
856478,512,7.2
857478,513,7.2
858478,512,7.2
859478,512,7.2
860478,512,7.2
861478,511,7.2
1022592,266,4.5
1023592,266,4.5
1024592,266,4.5
1025592,266,4.5
1026592,267,4.5
1027592,266,4.5
1028592,267,4.5
1029592,266,4.5
1030592,211,4.5
1031592,266,4.5
1032592,266,4.5
1033592,211,4.5
1034592,266,4.5
1035592,266,4.5
1036592,266,4.5
1037592,266,4.5
1038592,210,4.5
1039592,210,4.5
1040592,210,4.5
1041592,266,4.5
1042592,211,4.5
1043592,267,4.5
1044592,266,4.5
1045592,210,4.5
1046592,210,4.5
1047592,266,4.5
1048592,211,4.5
1049592,266,4.5
1050592,266,4.5
1051592,210,4.5
1052592,266,4.5
1053592,211,4.5
1054592,266,4.5
1055592,266,4.5
1056592,266,4.5
1057592,211,4.5
1058592,266,4.5
1059592,211,4.5
1060592,266,4.5
1061592,211,4.5
1062592,210,4.5
1063592,210,4.5
1064592,266,4.5
1065592,211,4.5
1066592,210,4.5
1067592,211,4.5
1068592,266,4.5
1069592,210,4.5
1070592,266,4.5
1071592,266,4.5
